group	keyword	rules_pre	rules_post	rules_all	voids
slips & trips	slip*	walking (.*) snow_ walking (.*) ice_ walking (.*) wet_ causing.*cleaner to_ walking when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	fall_ fell_ went over_ hurt.*_ and twist.*	fall_ fell_ trip_ tripped_ individual slipped_ ip slipped_ slipped on_ hurting foot	fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ falling object_ dropped object
slips & trips	trip*	walking (.*) snow_ walking (.*) ice_ walking (.*) wet_ causing.*cleaner to_ walking when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	fall_ fell_ went over_ frayed_ loose_ hazard__ and twist.*	fall_ fell_ trip_ tripped_ individual slipped_ ip slipped_ tripped on_ hurting foot	fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ generator_ power_ electricity_ falling object_ dropped object
slips & trips	stumble*	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	floor_ and twist.*	hurting foot	
slips & trips	uneven	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when	_ and twist.*	employee.* uneven.* surface_ ip.* uneven.* surface_ worker.* uneven.* surface_ hurting foot	
slips & trips	fell	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	_ and twist.*	employee fell back.*_ ip fell back.*_ worked fell back.*_ employee fell over_ ip fell over_ worked fell over*	straps_ drop.*_ fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ falling object_ dropped object
eye injury or irritation	eye*	something.*in_ swell.*_ swollen_ dust.*in_ particle.*in_ discomfort		irritation_ foreign body_ foreign object_ irritation (.*) eye_ pain in (.*) eye_ fell (.*) eye_ fall (.*) eye_ debris (.*) eye_ pain to	
eye injury or irritation	weld*			exposed.*weld.*arc	
eye injury or irritation	flash	arc.*			
vehicle Incident involving animal	vehicle*	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	driv*	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	car	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	struck*		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel		
vehicle Incident involving animal	collided*		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel		
theft	theft*	car_ trailer_ bucket_ van_ equipment_ tools_ dumper_ excavator_ ppe	of.*property_ of.*equipment_ of.*plant_ of.*personal	break in_ broke in_ stolen_ broken_ overnight_ was stolen	
theft	stole*		of.*property_ of.*equipment_ of.*plant_ of.*personal	theft_ broke*_ overnight_ break in_ broke in_ was stolen_ stole.* from.*_ equip.*stole.*from	
theft	padlock		of property_ of equipment_ of plant_ of personal_ found.* cut	_ was stolen_ equip.*stole.*from	
theft	missing		of property_ of equipment_ of plant_ of personal	money missing_ taken from_ was stolen_ equip.*stole.*from	
theft	rob*			employee.*rob.*while_ worker.*rob.*while_ vehicle.*rob.*while_ equip.*stole.*from	
theft	access*			access.*unlocked.*suspic.*	
theft	entry	forced			
competency	train*			lack (.*) training_ lack (.*) competency	
covid	covid*			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	pcr			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	rt-pcr			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	coronavirus			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	symptoms			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
back injury	back	hurt_ twisted_ soreness in_ sudden pinch_ strain.*_ irritation to_ discomfort to_ contusion to	pain_ discomfort_ muscle spasm_ strain.*_ twinge	discomfort (.*) back_ landed (.*) back_ severe (.*) pain_ pain in (.*) area_ felt pain (.*) lower_ felt pain (.*) upper_ experienced pain (.*) lower_ experienced pain (.*) upper_ pain (.*) lower_ experienced pain (.*) upper_ reported.* back injury_ reported.* back condition_ injur.* back_ pain to	vehicle_ truck_ car_ back side_ reversed back_ back of_ back off
fall from or working at height issue	height			working (.*) fell	object_ weighing
fall from or working at height issue	fall*			working (.*) fell_ without (.*) protection_ step ladder_ ladder_ fall.*miss.*colleague.*_ fall.*miss.*ip.*_ fall.*miss.*worker.*_ fall.*miss.*employee.*_ falling object 	object_ weighing_ slip.*
fall from or working at height issue	basket		made.*contact_ contacted_ bumped_ came.*contact		
fall from or working at height issue	lanyard	shock absorb.*	to deploy_ deployed		
dropped object or material	drop*	object_ height_ caus.*grating	fell_ dropped_ fall_ under.*own.*weight	working (.*) fell_ working (.*) dropped_ came loose (.*) fell_ became loose (.*) fell_ drop.*from height_ hook.*drop.*into_ socket dropped from	
dropped object or material	height	fell from_ object_ weighing_ weight		working (.*) dropped_ drop.*from height	
dropped object or material	slid*			sliding (.*) down_ slid (.*) down_ drop.*from height	
dropped object or material	fell	bolt_ tool.*_ 	falling_ from level.*of_ from above_ to ground_to.*level_ distance (of)?_ public footpath	section.*fell.*down_ part.*fell.*down_ piece.*fell.*down_ luminaire fell from_ bulb fell from_ fell.*to.*grade_ fell.*to.*ground_ fell.*to.*floor_ fell.*to.*slab_ fell.*into.*bund_ fell.*into.*hole_ drop.*from.*height_ few.*fell.*off_ some.*fell.*off_ fell.*to.*level.*below	slipped
dropped object or material	blown		ground_ falling_ from level.*of_ from above_ to ground_to.*level_ distance (of)?	section.*fell.*down_ part.*fell.*down_ piece.*fell.*down_ luminaire fell from_ bulb fell from_ fell.*to.*grade_ fell.*to.*ground_ fell.*to.*floor_ fell.*to.*slab_ fell.*into.*bund_ fell.*into.*hole_ drop.*from.*height_ few.*fell.*off_ some.*fell.*off_ fell.*to.*level.*below	
dropped object or material	pole			board giving way_ board fell_ board drop.*_ dropped.* to.*level_ passed.*when.*dropped_ drop.*from height	
dropped object or material	scaffold			board giving way_ board fell_ board drop.*_ dropped.* to.*level_ passed.*when.*dropped_ drop.*from height_ slipped out	
dropped object or material	board			board giving way_ board fell_ board drop.*_ fell.* ground_ fell.* deck_ passed.*when.*dropped_ drop.*from height	
dropped object or material	fall*	risk.*material	from.*ceiling_ from.*above_ from.*height_ to ground_to.*level	pipe.*to.*fall_ piece.*to.*fall_ board.*to.*fall_ drop.*from.*height_ shak.*fall.*down	slipped
dropped object or material	object			board giving way_ board fell_ board drop.*_ fell.* ground_ fell.* deck_ passed.*when.*dropped_ drop.*from height_ would.*fall.*from	
dropped object or material	landed		in.*area		
mechanical or equipment issue	torque			insufficient (.*) value_ wrong (.*) setting_ wrench_ spanner_ tighten (.*) bolt	
mechanical or equipment issue	broke			handle broke_ broke piece_ wheel.*broke off_ hose broke.*operation	
mechanical or equipment issue	equipment			equipment failure_ equipment Damage.*	
mechanical or equipment issue	grounding			no grounding_ no earth_ no earthing_ no bonding clip_	
mechanical or equipment issue	smashed			glass (.*) door smashed	
mechanical or equipment issue	damage*	found	cable_ hose	caused damage (.*) handrails_ caused damage (.*) handrail	
mechanical or equipment issue	fail*			failed emergency lighting_ failed emergency_ emergency (.*) fail_ emergency (.*) failure_ of.*winch	
mechanical or equipment issue	checks	while performing	fault.*		
mechanical or equipment issue	power*	loss of.*main	was lost_ outage	battery.* failure.*_ battery.* broke.*_ part.* broke.*_ loss.*of power_ loss.*of electric.*_ power cut	
mechanical or equipment issue	socket		split in half_ split		
mechanical or equipment issue	hose			hose.* damaged_ fail.*coupling	
mechanical or equipment issue	ruptur*			disc.*ruptur.*dur.*	
mechanical or equipment issue	head			head.*detach.*	
mechanical or equipment issue	wrong		gasket fitted		
mechanical or equipment issue	inspect.*			inspect.*found.*damage.*	
mechanical or equipment issue	hydraulic			was experiencing.*issues_ experienced.*issues	
mechanical or equipment issue	separate*			joint.*separate.*during	
mechanical or equipment issue	handrail		found.*loose		
mechanical or equipment issue	hole			rubbed.*hole.*in	
mechanical or equipment issue	bent	found			
mechanical or equipment issue	manlift			stuck_ position_ inside	
fuel spill	spill*	fuel_ diesel_ petrol_ gas	fuel_ diesel_ petrol_ gas_ hydraulic_ oil		
hydraulic fluid or oil leak	leak*	hydraulic_ oil	hydraulic_ oil		
hydraulic fluid or oil leak	fluid*	hydraulic_ oil			
hydraulic fluid or oil leak	hydraulic	minor spill_ major spill	leak.*_spill_ drip.*_ was released from		
hydraulic fluid or oil leak	oil	minor spill_ major spill	leak.*_ spill_ drip.*_ was released from		
fire	fire*	onset_ started_ broke_out_ caught_ incident	started_ damage_ occur.*due to_ incident	extinguisher.*used	false alarm_ water hose checks
fire	smok*	overheat.*and	coming from_ from.*engine		
burns	burn*	hot_ heat_ fire_ redness_ chemical_	hot_ heat_ fire_ to hand_ to leg_ to foot_ to arm_ to finger_ to thumb_ to palm_ to neck_ to toe	minor.* burn_ major.* burn_ sensation after_ stinging.* after_ rope burn.*hand.*	
burns	redness			sensation after_ stinging.* after	
burns	scald	hot_ heat_ fire_ redness	wound_ burn_ redness	scald.* hand_ scald.* leg_ scald.* arm_ scald.* finger	
speeding	limit*	exceeding (.*) speed_ above (.*) speed		speed (.*) vehicle	clearance_ measurement_ instrument_ equipment
bites (animals or insects)	bite*	insect_ animal_ fly_ dog_ cat_ animal_ rodent_ yellowjacket			
bites (animals or insects)	sting			bee sting_ wasp sting	
bites (animals or insects)	stung			stung.*\\bbee_ stung.*\\bwasp	
vehicle incident general	vehicle*	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact_ was damaged	left the road_ rear-ended_ rear ended_ vehicle hit (.*) vehicle_ car hit (.*) car_ hit (.*) vehicle_ unknown vehicle (.*) drove_ unknown vehicle (.*) driven_ vehicle (.*) vehicle_ car (.*) car_ sunk into_ sank into_ sunk into_ sank into_ over.* pot.*hole_ came in.* contact with_ vehicle.* contact with_ drove away.*while.*connected_ collided with.*	
vehicle incident general	auto*	minor damage_ striking a parked_ damage to_ causing.*dent	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact	rear-ended_ rear ended_ vehicle hit (.*) vehicle_ car hit (.*) car_ hit (.*) vehicle_ unknown vehicle (.*) drove_ unknown vehicle (.*) driven_ vehicle (.*) vehicle_ car (.*) car_ sunk into_ sank into_ over.* pot.*hole_ damaged.* auto_ came in.* contact with	
vehicle incident general	car*	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ drove_ drive.*_ contact_ was damaged	rear-ended_ rear ended_ vehicle hit (.*) vehicle_ car hit (.*) car_ hit (.*) vehicle_ unknown vehicle (.*) drove_ unknown vehicle (.*) driven_ vehicle (.*) vehicle_ car (.*) car_ sunk into_ sank into_ over.* pot.*hole_ over.* pot.*hole_ damaged.* car_ came in.* contact with_ car.* contact with_ drove away.*while.*connected_ collided with	
vehicle incident general	truck	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact	fall to the ground_ rear-ended_ rear ended_ vehicle hit (.*) vehicle_ car hit (.*) car_ hit (.*) vehicle_ unknown vehicle (.*) drove_ unknown vehicle (.*) driven_ vehicle (.*) vehicle_ car (.*) car_ sunk into_ sank into_ over.* pot.*hole_ damaged.* truck_ came in.* contact with_ truck.* contact with_ drove away.*while.*connected	
vehicle incident general	*van	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact_ was damaged	rear-ended_ rear ended_ van hit (.*) van_ van hit (.*) van_ hit (.*) van_ unknown van (.*) drove_ unknown van (.*) driven_ van (.*) van_ van (.*) van_ sunk into_ sank into_ over.* pot.*hole_ damaged.* van_ came in.* contact with_ van.* contact with_ drove away.*while.*connected	
vehicle incident general	window	minor damage_ striking a parked_ damage to_ cracked	minor damage_ was dented_ was broken	struck (.*) window_ broke (.*) window_ broke (.*) windscreen_ broke.* back_ over.* pot.*hole_ damaged.* window_ came in.* contact with	
vehicle incident general	winds*	minor damage_ striking a parked_ damage to_ cracked	minor damage_ was dented_ was broken	struck (.*) window_ broke (.*) window_ broke (.*) windscreen_ broke.* back_ over.* pot.*hole_ damaged.* window_ came in.* contact with	wind_ gust
vehicle incident general	driv*	minor damage_ striking a parked_ damage to_ causing.*dent	non-trafficable_ minor damage_ trailer broke.*_ sharp.* turn.*_ was dented_ was broken_ reversed.*barrier_ while.*phone_ while.* mobile_ was.*blind.*sun.*_ accident	driven over (.*) damage_ backed into (.*) damage_ damaged.* auto_ came in.* contact with	
vehicle incident general	traffic	minor damage_ striking a parked_ damage to_ causing.*dent	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident	road traffic incident_ road (.*) incident_ came in.* contact with	
vehicle incident general	tyre*	minor damage_ striking a parked_ damage to	flat_ puncture_ contact	flat tyre_ flat tire_ flat tyres_ flat tires_ damaged tire*_ came in.* contact with	
vehicle incident general	tire*	minor damage_ striking a parked_ damage to	flat_ puncture_ contact	flat tyre_ flat tire_ flat tyres_ flat tires_ damaged tyre*_ came in.* contact with	
vehicle incident general	dent	minor damage_ striking a parked_ damage to	minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*car_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle	found.* vehicle_ found.* truck_ found.* van_ found.* car_ _ came in.* contact with	
vehicle incident general	damage	minor damage_ striking a parked_ damage to	minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle	found.* vehicle_ found.* truck_ found.* van_ found.* car_ came in.* contact with	
vehicle incident general	scratch*	minor damage_ striking a parked_ damage to	minor damage_ was dented_ was broken_ while.*park.*_ appear.*on.*truck_ appear.*on.*van_ appear.*on.*vehicle	found.* vehicle_ found.* truck_ found.* van_ found.* car_ paint.* to the_ came in.* contact with	
vehicle incident general	bus	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident_ contact	road traffic incident_ road (.*) incident_ came in.* contact with	
vehicle incident general	taillight	damag.*_ cracked		striking.*taillight lens	
vehicle incident general	lane*			attempted to change	
vehicle incident general	mobile		whil.*driv_ whil.*enter.*_ when driv.*_ when enter.*		
vehicle incident general	collis*		minor damage_ was dented_ was broken_ while.*park.*	near.*miss.*collis.*_ near.*miss.*crash.*	
vehicle incident general	crash*		minor damage_ was dented_ was broken_ while.*park.*	near.*miss.*collis.*_ near.*miss.*crash.*	
vehicle incident general	blind.*		sunlight.*road		
vehicle incident general	trailer	minor damage_ striking a parked_ damage to	accident_ contact_ was damaged		
vehicle incident general	fender	minor damage_ striking a parked_ damage to_ causing.*dent_ touch.*parked	minor damage_ was dented_ was broken_ while.*phone_ while.* mobile_ accident	road traffic incident_ road (.*) incident_ came in.* contact with	
vehicle incident general	sleep	vehicle	vehicle		
hand or arm injury	finger*	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught	finger (.*) injury_ finger (.*) damage_ finger (.*) break_ finger (.*) fracture_ cut (.*) finger_ catching (.*) finger in_ causing.* avulsion_ was jammed_ struck by_ injur.* finger.*_ felt.*pain	finger tight
hand or arm injury	knuckle	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	thumb (.*) injury_ thumb (.*) damage_ thumb (.*) break_ thumb (.*) fracture_ catching (.*) thumb in_ causing.* avulsion_ struck by_ injur.* thumb_ felt.*pain	
hand or arm injury	thumb*	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edgev_ got caught_ cut	thumb (.*) injury_ thumb (.*) damage_ thumb (.*) break_ thumb (.*) fracture_ catching (.*) thumb in_ causing.* avulsion_ struck by_ injur.* thumb_ felt.*pain	
hand or arm injury	wrist*	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	wrist (.*) injury_ wrist (.*) damage_ wrist (.*) break_ wrist (.*) fracture_ minor (.*) injury_ struck by_ injur.* wrist#_ felt.*pain	
hand or arm injury	hand	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ struck.*right_ struck.*left_ abrasion to_ came.*in.*contactv_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	hand (.*) injury_ hand (.*) damage_ hand (.*) break_ hand (.*) fracture_ minor (.*) injury_ pierced (.*) hand_ struck in hand_ catching (.*) hand in_ struck.* against.* causing.* discomfort_ struck by_ injur.* hand_ felt.*pain	slip.*
hand or arm injury	palm	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ struck by_ felt.*pain	
hand or arm injury	forearm	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ injury.* to_ struck by_ injur.* forearm.*_ felt.*pain	
hand or arm injury	arm	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	palm (.*) injury_ palm (.*) damage_ palm (.*) break_ palm (.*) fracture_ minor (.*) injury_ pierced (.*) palm_ struck in palm_ catching (.*) palm in_ injury.* to_ struck by_ injur.* arm*_ felt.*pain	
foot or leg injury	ankle*	laceration_ cut.*_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ rolled.* ankle_ soreness in_ abrasions to_ injured to_ pain_ sprain_ bump.*_ dislocate.*_ swell.*_ numb.*_ twist.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ pop.*_ pain_ jammed inv_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	fall_ fell_ trip_ tripped_ rolled.* ankle_ reported.* pain_ injur.* ankle*_ felt.*pain	
foot or leg injury	foot	rolled on.*_ reported sore_ rolled.* foot_ soreness in_ abrasions to_ injured to_ pinched_ pain in_ sprain_ bump.*_ dislocate.*_ struck his_ struck her_ swell.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ pain to	pain_ jammed in_ crushedv_ laceration_ was caught_ sharp edge_ got caught_ cut	abrasion (.*) toe_ banged toe_ dropped (.*) toe_ dropped (.*) foot_ rolled.* foot_ reported.* pain_ injur.* foot*_ felt.*pain	foot slipped off (.*) break_ foot slipped on (.*) break
foot or leg injury	leg	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ painv_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	leg (.*) contact_ reported.* pain_ injur.* leg*_ felt.*pain	
foot or leg injury	knee	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	 strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain	
