group	keyword	rules_pre	rules_post	rules_all	voids
foot or leg injury	toe	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	 strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain	
foot or leg injury	shin	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut	 strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain	
foot or leg injury	calf	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*v_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught		
general injury	muscle*	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ ice_ trapped_ caught_ itch.*_ sting.*_ abrasion_ came.*in.*contact_ bruis.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain	sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain	
general injury	shoulder	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ pain to	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ crushed_ laceration_ was caught_ sharp edge_ cut	sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* shoulder_ felt.*pain	
general injury	neck	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ pain to_ sprain_ bump.*_ dislocate.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ pain_ laceration_ sharp edge	sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* kneck_ felt.*pain	
general injury	elbow	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ sprain_ bump.*_ dislocate.*_ struck his_ struck her_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ jammed in_ crushed_ crushed_ laceration_ was caught_ sharp edge_ got caught	elbow struck_ elbow banged_ elbow hit_ injur.* elbow_ felt.*pain	
general injury	abdomen	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ discomfort_ itch.*_ sting.*_ discomfort to_ strained_ sensation in_ puncture.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ crushed	sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain	
general injury	slice*		ip.*skin_ employee.*skin_ worker.*skin		
general injury	groin	laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ discomfort to_ strained_ jarred_ sensation in_ puncture.*_ splinter in_ painto_ pain in	_ cut		
general injury	skin			skin irritat.*	
general injury	rib*	reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain to_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain to_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ discomfort_ itch.*_ sting.*_ discomfort to_ strained_ sensation in_ puncture.*	injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ crushed	sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain	
non-work related injury or illness	injur*	non.*work.*related	non.*work.*related		
non-work related injury or illness	medivac	non.*work.*related	non.*work.*related		
minor fluid spill	tea	spill_ spilt_ spilled_ stiring_ swirling_ dropped		spilled (.*) tea_ spilled tea_ spill tea_ minor burn	
minor fluid spill	coffee*	spill_ spilt_ spilled_ stiring_ swirling_ dropped		spilled (.*) coffee_ spilled coffee_ spill coffee_ minor burn	
lifting or moving loads	load*	lifting_ moving_ fell off	caught edge of_ struck_ damag.*_ shifted	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact	oil leak from_
lifting or moving loads	crane*	lifting_ moving_ fell off	caught edge of_ struck_ damag.*_ hook.*drop.*into_ made contact with	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact	oil leak from_
lifting or moving loads	forklift*	lifting_ moving_ fell off	caught edge of_ struck_ damag.*_ tilt.*forward_ made contact with	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact	oil leak from_
lifting or moving loads	backed	_ fell off	caught edge of_ struck_ damag.*	spotter	
lifting or moving loads	backing	_ fell off	caught edge of_ struck_ damag.*	spotter_ hit.* while.* back.*	
lifting or moving loads	spotter	lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without_ without	caught edge of_ struck_ damag.*	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked 	
lifting or moving loads	fell		caught edge of_ struck_ damag.*	stack fell.* mov.*_ stack fell.* pull.*_ fell.* mov.*_ fell.* pull.*	
lifting or moving loads	struck		caught edge of_ struck_ damag.*	piece of.*struck.*_ part of.*struck.*	
lifting or moving loads	excavator	lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without	caught edge of_ struck_ damaged_ contacted the_ made contact with	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact	
lifting or moving loads	operator	tip over	tip over_ damag.*		
lifting or moving loads	driver	tip over	tip over_ damag.*		
lifting or moving loads	trailer	lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without	caught edge of_ struck_ tip over_ was dropped during	reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact	
lifting or moving loads	truck		made contact with	drove.*away.*while.*connected	
lifting or moving loads	machine		made contact		
lifting or moving loads	moving	damage_ was struck_ struck while_ struck when_ damage.*when		moving.*with.*skid	
lifting or moving loads	bulldozer		struck_ made contact		
lifting or moving loads	boom		came in.*contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck	contact.*damag.*	
lifting or moving loads	lift*	no document.*for_ no.*plan.*for_ no.*permit.*for	came in.*contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck		
lifting or moving loads	barrow		came in contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck		
lifting or moving loads	manoeuvr*		came in contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck		
hazardous materials or work	acid	expose.*to_ strong odor		contaminated (.*) acid	
hazardous materials or work	chemical	expose.*to		chemical reaction_ hazard	
hazardous materials or work	sulphur*	strong smell_ expose.*to			
hazardous materials or work	hazard*	did not capture_ expose.*to_ swallowing			
hazardous materials or work	poison	_ expose.*to_ analyse.*for_ sample.*for_ test.*for	ivy_ exposure		
hazardous materials or work	egg*	strong smell_ rotten smell_ smelt rotten_ expose.*to			
hazardous materials or work	smell*	strong smell_ rotten smell_ strong paint_ solvent_ expose.*to			
hazardous materials or work	exposure			exposure.* chemical.*	
hazardous materials or work	level*	radiation_ expose.*to		radiation.*exceed.*	
hazardous materials or work	monoxide	ignoring.* reading_ high.*reading_ high.*limit.*_ expose.*to_ analyse.*for_ sample.*for_ test.*for			
hazardous materials or work	asbestos	located_ expose.*to_ analyse.*for_ sample.*for_ test.*for_ found	contain.*material*		
hazardous materials or work	chrysotile	located_ expose.*to_ analyse.*for_ sample.*for_ test.*for_ found	contain.*material*		
hazardous materials or work	benzene	high level.*_ expose.*to_ analyse.*for_ sample.*for_ test.*for_ found			
hazardous materials or work	chlorine	expose.*to_ analyse.*for_ sample.*for_ test.*for_ found	gas release.*		
hazardous materials or work	warn*		buried.*cable_ buried.*conduit_ was located 		
hazardous materials or work	sewage	analyse.*for_ sample.*for_ test.*for		worker.*contact.*with	
hazardous materials or work	co	high reading_ high level			
hazardous materials or work	effluent	located_ expose.*to_ analyse.*for_ sample.*for_ test.*for_ found_ discharge.* of	discharge		
general illness or health issue	ach*			stomach (.*) aching_ stomach (.*) ach_ feeling unwell_ felt unwell_ illness_ non-work related illness	
general illness or health issue	heart	passed out_ felt_ struggling with	 passed out	heart attack	
general illness or health issue	unwell	passed out_ felt_ complained_ feeling	 passed out	unwell and fainted_ unwell (.*) fainted_ fainted_ took.*sickness_ with sickness	
general illness or health issue	well	did not feel_ didn't feel_ didnt feel			
general illness or health issue	flu	diagnosed.*with_ struggling with		flu (.*) symptoms_ unwell and fainted_ unwell (.*) fainted_ fainted	
general illness or health issue	motion	feeling unwell_ felt unwell	sickness.*		
general illness or health issue	chest	sore_ suffer.*_ struggling with		complained.*pain_ experienced.*pain_ breath.* difficulties_ breath.* issue*_ suffur.* chest pains_ felt chest pains_ feel.*chest pains	
general illness or health issue	breath*	struggling with		breath.* difficulties_ breath.* issue*_ difficult.*breath.*	
general illness or health issue	cramp*	sore_ suffer.*_ struggling with		cramp.* in.* leg.*_ cramp.* in.* arm.*_ cramp.* in.* hand.*_ cramp.* in.* stoma.*_ cramp.* in.* belly.*_	
general illness or health issue	throat	sore_ suffer.*_ struggling with	sore		
general illness or health issue	urin*	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		issue.*urinar.*	
general illness or health issue	faint	felt_ get.*_ suffer.*	and dizzy		
general illness or health issue	vomit*	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		 ill.*site	
general illness or health issue	condition	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		has.*exist.*medical condition	
general illness or health issue	sick*	felt_ get.*_ suffer.*		has.*exist.*medical condition	
general illness or health issue	migraine*	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained			
general illness or health issue	diabe*	felt_ get.*_ suffer.*_ diagnosed.*with	 seizure		
general illness or health issue	health	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained	vertigo		
general illness or health issue	muscl*	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		fever.*and.*muscl.*pain	
general illness or health issue	issue	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		medical.* personal	
general illness or health issue	pain*	sever.*stomach	using.*toilet		
general illness or health issue	nausea	symptoms of	dizz.*		
general illness or health issue	symptoms	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained	heat ill.*_ heat sick.*		
general illness or health issue	infection	diagnosed.*with			
general illness or health issue	dizzy	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		felt.*dizzy.*hot	
general illness or health issue	syncopial	experienced		has.*exist.*medical condition	
general illness or health issue	cough*	disrtressed and.*_ distressed and.*			
general illness or health issue	medical	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		personal.*condition_ non.*work.*related	
general illness or health issue	*ache	get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained		employee.*headache_ worker.*headache_ ip.*headache	
general illness or health issue	tested*	employee_ contractor_ worker_ subcontractor_ personal_ personnel_ ip_ individual	positive_ \+ve		
general illness or health issue	ill	employee_ contractor_ worker_ subcontractor_ personal_ personnel_ ip_ individual		case\+_ positive_ passed away	
general illness or health issue	operation*	emergency_ bleed_ helicopter_ urgent action_			
general illness or health issue	isolated*	personal_ person_ employee	confirmed_ positive_ tested (.*) positive		
sharp objects	sharp			contact (.*) sharp	
environmental leak or issue	turbidity			plume (.*) identified	
environmental leak or issue	sewage	expose.*to	was released_ release	sewage overflowed_ sewage leak_ sewage spill_ leak noticed_ spill.*to.*	
environmental leak or issue	contaminate*	expose.*to	drained to	contaminated water_ contaminated (.*) water_ hydrocarbon contaminated water_ hydrocarbon contaminated (.*) water_ leak noticed	
environmental leak or issue	caustic	expose.*to	drained to	caustic (.*) tank_ tank (.*) leak_ leak noticed	
environmental leak or issue	fume*	expose.*to		exposed (.*) fume_ exposed (.*) fumes	
environmental leak or issue	oil	expose.*to	was released_ release		
environmental leak or issue	hydrocarbon*	expose.*to	was released_ release		
environmental leak or issue	sewer	drained to			
environmental leak or issue	culvert			type 1.*into.*culvert	
environmental leak or issue	coolant		was released_ release		
environmental leak or issue	gas		was released_ release		
environmental leak or issue	siltation		water supply		
line strike	struck	cable_ sewer_ line_ conduit_ culvert_ pipe		struck (.*) line_ cable struck during excavation_ pipe struck during excavation_ sewer struck during excavation	struck in hand
line strike	strike	cable_ sewer_ line_ conduit_ culvert_ pipe		strike (.*) line	struck in hand
line strike	excavator			severed (.*) cable_ hit (.*) cable_ struck (.*) cable_ broke (.*) cable_ severed (.*) line_ hit (.*) line_ struck (.*) line_ broke (.*) line_ hit (.*) drain_ struck (.*) drain_ broke (.*) drain_ severed (.*) sewer_ hit (.*) sewer_ struck (.*) sewer_ broke (.*) sewer_ damag.*	
line strike	line	 cut into_ severed_ broke the	pierce.*	existing.*line.*caus.*leak_ unmarked.*discovery	
line strike	powerline	made contact with_ hit overhead	damag.*_ crushed	contact.*overhead_ unmarked.*discovery	
line strike	contact			excavator.*contact.*with.*conduit_ excavator.*contact.*with.*line_ excavator.*contact.*with.*pipe_ excavator.*contact.*with.*sewer	
line strike	bucket	 cut into_ severed		excavator.*contact.*with.*conduit_ excavator.*contact.*with.*line_ excavator.*contact.*with.*pipe_ excavator.*contact.*with.*sewer_ damag.*_ unmarked.*discovery	
line strike	conduit	broke the	crushed	unmarked.*discovery	
electric shock or issue	electric*		arc appear.*_ shock	static electric discharge_ electric shock_ could become live_ cable.*uncover.*_ line.*uncover.*_ cable.*found.*_ line.*found.*_ felt.*shock	pinched (.*) between_ electric motor_ electrician got (.*) cut
electric shock or issue	live			static electric discharge_ electric shock_ could become live	
ppe non-compliance	protection	observed.*without_ observed.*with out		not wearing (.*) protection_ not wearing (.*) ppe_ no ppe	
ppe non-compliance	ppe			not wearing (.*) protection_ not wearing (.*) ppe_ no ppe	
ppe non-compliance	safety	without anchoring_ incoorectly using_ incorrect.* us.*	without.* harness_ without.* ppe_ without.*arrest		
ppe non-compliance	fall	without anchoring_ incoorectly using_ incorrect.* us.*	without.* harness_ without.* ppe_ without.*arrest		
alcohol or drugs	alcohol	positive.*for		 empty (.*) bottle_ under (.*) influence_ intoxicated	
alcohol or drugs	drugs	positive.*for		 empty (.*) packet_ under (.*) influence_ intoxicated	
site compliance or practice issue	removed	 fenceline_ fence_ 	without authorization_ without authorisation		
site compliance or practice issue	modified			modified.* unqualified	
site compliance or practice issue	permit	without.*work_ not captured 	not in place_ were not captured	during.* audit_ failed.* section_ modif.*without.*permit_ wothout permit_ with out permit_ without.*work	
site compliance or practice issue	practice		not in place_ were not captured	scaffold.* improper.*practice	
site compliance or practice issue	access*			without.* permission	
site compliance or practice issue	control*		not in place_ were not captured		
site compliance or practice issue	under			employee.*under.*suspended load_ worker.*under.*suspended load_ ip.*under.*suspended load	
site compliance or practice issue	violation	employee.* worker.*_ dot	work procedure_ practice		
site compliance or practice issue	infringement			isolation.*infringement.*test	
site compliance or practice issue	emergency			emergency.*stop.*inadvertently.*activated_ emergency.*stop.*inadvertently.*pressed_ emergency.*stop.*inadvertently.*pushed	
site compliance or practice issue	lift*	no document.*for_ no.*plan.*for_ no.*permit.*for			
site compliance or practice issue	modif*		without approval*_ out.*plan_ out.* agree.*		
site compliance or practice issue	compliance			not.*compliance.*standard.*_ non.*compliance.*requirement.*	
site compliance or practice issue	procedure	failure to follow	without approval*_ out.*plan_ out.* agree.*_ not in place_ were not captured		
site compliance or practice issue	restrict*			breached.*restriction.*_ enter.*work.*area	
site compliance or practice issue	risk	uncontrolled			
site compliance or practice issue	rams	unsuitable		unsuitable.*for.*task	
site compliance or practice issue	plan	no document.*for_ no.*plan.*for_ no.*permit.*for		failed to.*complete	
area	area*	certificate requirements_ alarmed_ unbarricaded_	permit.*dig_ 	gases_ collapsed.*floor_ dropped_ below_ 	overhead_ power cable_ ankle_ 
minor non-injury event	sank			foot.* sank.* hole	
minor non-injury event	delivery			unsafe.* delivery	
head or face injury	face	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
head or face injury	head	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
head or face injury	forehead	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
head or face injury	mouth	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
head or face injury	facial	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
head or face injury	nose	hit.*_ struck.*_ bump.*_ injur.*_ broke.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	bleed.*_ broke.*_ sharp edge_ injur.*		
head or face injury	jaw	suffer.* broke.*_ hit.*_ struck.*_ bump.*_ injur.*_ broke.*_ laceration to_ irritation to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	bleed.*_ broke.*_ sharp edge_ injur.*		
head or face injury	ear	hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*	bleed.*_ broke.*_ sharp edge_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury_ complained.*pain	
head or face injury	tooth	hit.*_ struck.*_ bump.*_ injur.*_ broke.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ dmage.*_ sensation_ tingling	damage.*_ injur.*	struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury	
offshore transfer	transfer			injured.* during.* transfer	
work vehicle incident	bucket			excavator.* broke.*	
work vehicle incident	roller		tipped over		
aggressive behaviour	altercation	employee.*_ worker.*			
aggressive behaviour	fight	employee.*_ worker.*			
aggressive behaviour	argument	employee.*_ worker.*			
weather related issue	rain	overnight_ broke.*due.*to_flooded_ stuck.*heavy	flooded	heavy.*rain.* leak.*	
weather related issue	snow	overnight_ broke.*due.*to_ weight of_ stuck.*heavy		heavy snow.*	
weather related issue	wind*	gust of_ overnight_ broke.*due.*to_ blown over	gusting_ blown over	strong wind.*_ high wind.*	
weather related issue	heat	not feel.*well_ felt unwell	stress_ stroke_ exposure_ related illness		
weather related issue	frost*			frostbite	
weather related issue	freez*		conditions	frostbite	
weather related issue	gust*			stong gust.*	
weather related issue	tree			fall.*branch.*tree	while moving_ while lift.*
weather related issue	dizz*	hot environment_ high temp.*_ heat	from.*heat		
security or general safety concern	suspicious		followed employee.*_ briefcase_ case_ bag.*_ person		
security or general safety concern	suspcious		followed employee.*		
security or general safety concern	evacuation			evacuation alram_ evacuation message	
security or general safety concern	alarm			shutdown alarm sounded_ alarm went off	
security or general safety concern	unknown	operators are_ operators were_ visitors were_ parties were_		unknown person.*asked.* management_ unknown person entered	
security or general safety concern	trespass*			found trespass.* in.*	
security or general safety concern	dog*			dog.*loose	
security or general safety concern	entry	unauthori.*			
security or general safety concern	fugitive*		on.*run		
security or general safety concern	break	security.*disturb.*		attempt.*break.*in	
knife incident	knife			cut.*self	
excavations	excavat*	deep	contact.*culvert	in.* excavation.* injur.*	
disease or infection	malari*	 diagnose.*with			
disease or infection	screening			test.*positive.*screening	
office or facilities incident or injury	chair		brok.*		
office or facilities incident or injury	lift	passenger_ stuck in	doors.*not.*open	passenger.*came.*stop	
office or facilities incident or injury	computer	while.*use.*	made.*sound		
office or facilities incident or injury	toilet	flood.*	overflow_ flood.*_ leak.*		
vandalism	sever*			intentionally.*sever.*others	
vehicle incident general	helicopter			struck_ hard landing	